"";"geo";"time";"B1GQ__CLV15_MNAC";"P6__CLV15_MNAC";"P61__CLV15_MNAC";"P62__CLV15_MNAC";"B11__CP_MEUR";"B1GQ__CP_MEUR";"P6__CP_MEUR";"P61__CP_MEUR";"P62__CP_MEUR";"B11__CP_MNAC";"B1GQ__CP_MNAC";"P6__CP_MNAC";"P61__CP_MNAC";"P62__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"XPERF";"XSHA";"XGSVD";"XMKT";"eci";"nulc_eo";"gdp_ind";"exp_ind";"exp_goods_ind";"exp_serv_ind";"tbalance_gdp";"eci_rel_ecfin15";"nulc_eo_rel_ecfin15";"gdp_ind_rel_ecfin15";"exp_ind_rel_ecfin15";"exp_goods_ind_rel_ecfin15";"exp_serv_ind_rel_ecfin15";"tbalance_gdp_rel_ecfin15";"eci_rel_ecfin17";"nulc_eo_rel_ecfin17";"gdp_ind_rel_ecfin17";"exp_ind_rel_ecfin17";"exp_goods_ind_rel_ecfin17";"exp_serv_ind_rel_ecfin17";"tbalance_gdp_rel_ecfin17"
"1";"AT";1995;242066,7;71517,5;47480,5;24559,3;-2194,4;184351,3;61818,8;43067,2;18751,6;-2102,2;176608,8;59222,5;41258,4;17964,1;94000,9;90053;1,1199104922;1,2832775919;79406757127,6944;70904556819,5737;2,07826;87,5010799480281;74,1054916325197;44,8673349740931;41,4826120839988;54,8185200809802;-0,0119031441241886;113,593232185238;106,199664239203;92,1990390926994;95,1182145500928;86,5948221989378;124,124418032756;NA;NA;NA;NA;NA;NA;NA;NA
"2";"AT";1996;247754,2;74834,8;49577,9;25823,3;-2963,7;186968,1;64035,2;44553,6;19481,6;-2893,5;182540,9;62518,9;43498,6;19020,3;93401,8;91190,2;1,1004432333;1,2176474446;82517171642,0726;74985396013,4908;2,03268;86,6565242772616;75,8466439003035;46,9484816907647;43,3150618388451;57,6398793779617;-0,015851242105194;110,312491479605;103,90807565036;93,146326793047;94,5056746829969;85,8244162488091;124,166566767481;NA;NA;NA;NA;NA;NA;NA;NA
"3";"AT";1997;252941,2;83087,5;57291,5;25995,3;-1524,5;187853,7;69558,6;50121,8;19436,8;-1531,5;188723,8;69880,8;50354;19526,8;92364,1;92791,9;1,1148243757;1,1450704406;92137884199,9093;82647891642,4966;1,91867;86,2920306317398;77,4345747685224;52,1259089685736;50,0542553303023;58,0237985228041;-0,00811503371593832;106,369594523682;103,682598532705;93,0408545837965;94,1318701959093;89,4255398819922;109,19891011574;NA;NA;NA;NA;NA;NA;NA;NA
"4";"AT";1998;262000,1;89611,1;61987;27805,6;-439;195011,9;74789;54153,6;20635,5;-442;196346,6;75300,9;54524,2;20776,7;95622,2;96276,7;1,1197566257;1,2384480165;99470666549,9144;88832398282,9938;1,84365;86,4689291054057;80,2078361801492;56,2185652616067;54,1566048219971;62,0645475222707;-0,00225112123153648;104,273499690419;103,460327199226;93,9189280424477;95,1325113258916;90,8294912460177;108,877592294278;NA;NA;NA;NA;NA;NA;NA;NA
"5";"AT";1999;271317,7;95376,6;66824,3;28595;925,4;203850,6;80229,6;58498,3;21731,2;925,4;203850,6;80229,6;58498,3;21731,2;99839,6;99839,6;1,1217362781;1,2151407611;105487745605,071;94039702260,1451;1,80792;86,7258971590678;83,0602951463563;59,8356187071708;58,3828416862661;63,8265578300533;0,00453959909855551;102,021391778562;102,421858079237;95,0164610802644;96,1309249616687;92,8363728937265;108,0577869261;NA;NA;NA;NA;NA;NA;NA;NA
"6";"AT";2000;280476,6;108275,9;75757,5;32582,7;2845,4;213606,5;92590,5;67701,5;24888,9;2845,4;213606,5;92590,5;67701,5;24888,9;103350,7;103350,7;1,1480873567;1,0979786983;120643867700,626;105082480877,003;1,79399;86,6123075241956;85,8641702242298;67,928144508986;66,1875714230797;72,7274553526588;0,0133207556886143;101,681197892875;101,382253128186;94,9194091506333;95,9744830184879;92,6645247776923;108,05223569163;NA;NA;NA;NA;NA;NA;NA;NA
"7";"AT";2001;284030,7;114524,5;80306,6;34255,9;3745,5;220525,1;98392,9;71948,6;26444,3;3745,5;220525,1;98392,9;71948,6;26444,3;105587,8;105587,8;1,1862504405;1,1671706922;127382886317,178;107382793685,963;1,73102;87,4650822380524;86,9522105363055;71,848276355305;70,1620146288446;76,4621850802771;0,016984461179249;99,0875158364523;100,993643935456;94,347398614836;97,1371251690769;93,9638157585679;109,441219947193;NA;NA;NA;NA;NA;NA;NA;NA
"8";"AT";2002;288721,6;119433,3;83744,4;35729,2;8367,9;226735,2;102755;74691,6;28063,4;8367,9;226735,2;102755;74691,6;28063,4;107563,4;107563,4;1,2152627084;1,2193745747;132498393262,664;109028601264,018;1,72614;87,5897083564851;88,3882670062743;74,9278690972329;73,1655407884758;79,7507204064186;0,0369060472304256;100,255269772198;99,1208137407326;95,4463658360828;98,8969287729142;96,0561642906138;108,159475439751;NA;NA;NA;NA;NA;NA;NA;NA
"9";"AT";2003;291439,8;120068,1;83785,4;36377,9;6384,2;231862,5;103342,1;74347;28995,1;6384,2;231862,5;103342,1;74347;28995,1;109988,6;109988,6;1,1600515664;1,2666571751;133381310924,39;114978777486,444;1,76393;88,6667144368444;89,2204076821934;75,3261182564115;73,2013615379508;81,1986759253679;0,027534422340827;104,925177513657;98,4798268819383;96,1317624911624;98,3605658822704;94,6372092259883;111,386513453333;NA;NA;NA;NA;NA;NA;NA;NA
"10";"AT";2004;299411,1;130467,2;92670,8;37715,5;7130,1;242348,3;113581,9;83074,9;30507;7130,1;242348,3;113581,9;83074,9;30507;112760,5;112760,5;1,1423758228;1,2506245197;143900552345,155;125966034536,096;1,81965;88,6487688799917;91,6607148597205;81,8501145248645;80,9643295229375;84,1843169029332;0,0294208789580946;107,557893684568;97,8343543382285;96,9806610378768;98,5031859707319;96,4808194599341;105,718436986954;NA;NA;NA;NA;NA;NA;NA;NA
"11";"AT";2005;306130,1;139163;98281,1;40856,8;8144,9;254075;123530,7;90010,4;33520,2;8144,9;254075;123530,7;90010,4;33520,2;116392,7;116392,7;1,1351173214;1,2016642811;154441980732,139;136058165809,146;1,74605;89,414000631637;93,7176470948396;87,3055257384517;85,8659185663313;91,1959750988257;0,0320570697628653;104,938602484634;98,0644570869743;97,9050300337569;99,6313172848071;96,9928382749329;109,198156998943;NA;NA;NA;NA;NA;NA;NA;NA
"12";"AT";2006;316703,9;149706,2;106074;43564,9;9628,4;267824,5;136166,4;100076,9;36089,6;9628,4;267824,5;136166,4;100076,9;36089,6;122008,5;122008,5;1,1082923756;1,1660382169;166933485684,603;150622244957,874;1,7452;90,5338051703451;96,9546749364384;93,9199248169829;92,6743946293339;97,2406927508476;0,0359504078230334;109,700001891477;99,3630304913766;98,0046119654064;97,7341640163159;95,4792215176964;106,303419763113;NA;NA;NA;NA;NA;NA;NA;NA
"13";"AT";2007;328508,8;161041,7;114999,5;45845,6;12462,3;283978;149261,3;110157,3;39104;12462,3;283978;149261,3;110157,3;39104;128163,3;128163,3;1,0959263413;1,1940120538;179149293340,119;163468370624,305;1,70293;91,791822892806;100,568587623201;101,031382510538;100,472397054661;102,331415969697;0,0438847375500919;110,636659771742;99,5087944695986;98,8813000442824;98,2206824819913;96,4981049872773;105,996806154396;NA;NA;NA;NA;NA;NA;NA;NA
"14";"AT";2008;333306,4;164537,4;116006,6;48513,2;12996,1;293761,9;156424,9;113368,1;43056,8;12996,1;293761,9;156424,9;113368,1;43056,8;134924,7;134924,7;1,0805631228;1,1641147777;181853230828,733;168294870509,707;1,68159;95,1352382355268;102,037308875055;103,224450541005;101,352276976519;108,285734055637;0,0442402503524113;111,241792023936;99,2627138015005;99,8590779692902;99,6032959654697;97,0254930658874;109,310916105587;NA;NA;NA;NA;NA;NA;NA;NA
"15";"AT";2009;320758,8;140896,5;96706,3;44441,2;9657;288044;130217,3;91435,3;38781,9;9657;288044;130217,3;91435,3;38781,9;136194,1;136194,1;1,0520346941;1,1489806493;156448026188,749;148709949456,817;1,69369;99,7524704226577;98,1960284890778;88,3930571143749;84,4900523157678;99,1966715102977;0,0335261279526739;111,439537811158;98,9531965701976;101,052789300557;98,8800399705107;95,8377482269814;104,930692243753;NA;NA;NA;NA;NA;NA;NA;NA
"16";"AT";2010;326651,5;159397,7;114458,8;44801,1;10369,8;295896,6;151683;111997,2;39685,8;10369,8;295896,6;151683;111997,2;39685,8;138878,1;138878,1;1,0591677388;1,0637025952;176259536958,416;166413241734,809;1,68617;100;100;100;100;100;0,0350453503014229;111,086894748861;100;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA
"17";"AT";2011;336198,8;168858,5;121657,6;47012,5;8666,7;310128,7;167310,3;123526,3;43784;8666,7;310128,7;167310,3;123526,3;43784;144318,2;144318,2;1,0534933049;1,0409929186;187752345518,946;178218831248,644;1,7891;100,824676681958;102,922778557576;105,935342856265;106,289424666343;104,936039516887;0,0279454948864778;120,195058989153;100,232596815636;100,463540905666;99,1031774613768;99,0925162391982;99,9208511292389;NA;NA;NA;NA;NA;NA;NA;NA
"18";"AT";2012;338486,5;171286,2;122732,5;48423,4;8906,9;318653;171988,8;125801,2;46187,6;8906,9;318653;171988,8;125801,2;46187,6;150324,4;150324,4;1,0585898721;0,9780609294;190565271847,114;180018038020,597;1,71686;104,222151612819;103,623127400303;107,458388671857;107,228539876357;108,08529254862;0,0279517217788629;NA;101,174591316862;101,623390123395;98,187293273984;98,2732458952181;97,9912947429498;NA;NA;NA;NA;NA;NA;NA;NA
"19";"AT";2013;338572,8;172383,6;121745,3;50639,5;9121,9;323910,2;173101,8;123657,2;49444,7;9121,9;323910,2;173101,8;123657,2;49444,7;154509,2;154509,2;1,0318880743;0,9874852827;191789018720,919;185862230124,905;1,72767;107,107691029093;103,649546994274;108,14685531849;106,366046123146;113,031822879349;0,0281618176889768;NA;102,441238202903;101,637430503712;97,6003917954941;96,7397448355985;99,2275388717249;NA;NA;NA;NA;NA;NA;NA;NA
"20";"AT";2014;340811,7;177361,3;125254,8;52108;10892,6;333146,1;177855,3;126109,3;51746;10892,6;333146,1;177855,3;126109,3;51746;158788,9;158788,9;1,0258256931;0,9970056055;197404827442,603;192435058677,091;1,64981;109,210823277637;104,334956367872;111,26967327634;109,432214910518;116,309644182844;0,0326961654361255;NA;103,491585814862;100,691155690601;96,2805115279188;96,0977787910646;95,505667160451;NA;NA;NA;NA;NA;NA;NA;NA
"21";"AT";2015;344269,2;182769,3;129183,5;53585,8;12912,9;344269,2;182769,3;129183,5;53585,8;12912,9;344269,2;182769,3;129183,5;53585,8;163660,9;163660,9;1,017441343;0,9620411618;203321521514,741;199836111343,983;1,68354;111,525706686544;105,393423878354;114,662444941175;112,86462901935;119,608223905217;0,0375081476937234;NA;104,351369139028;99,8885623041469;94,0842561417724;94,5700529675915;90,6555660117803;NA;NA;NA;NA;NA;NA;NA;NA
"22";"AT";2016;351118,3;188230,6;132870,6;55360;13698,9;357608;187409,4;131524;55885,5;13698,9;357608;187409,4;131524;55885,5;170081,4;170081,4;1,0096274887;0,9998455627;208861858161,019;206870217476,882;1,63921;113,681090858811;107,49018449326;118,088654980593;116,085962809325;123,568394526027;0,0383070289255274;NA;105,001485163488;99,8973839536613;94,3989663073551;94,7617049901297;90,8469572463108;NA;NA;NA;NA;NA;NA;NA;NA
"23";"AT";2017;359048,5;197450,2;139384,6;58065,8;11684,6;369361,9;199644,4;140059,6;59584,7;11684,6;369361,9;199644,4;140059,6;59584,7;176086,1;176086,1;1,0065393306;0,9906708928;220319081925,346;218887702864,504;1,62894;114,949824261137;109,917909453959;123,872678213048;121,777093591755;129,607978375531;0,0316345567856349;NA;105,161303475342;99,6789828605364;94,2001753406099;94,5595956180259;90,8664420555696;NA;NA;NA;NA;NA;NA;NA;NA
"24";"AT";2018;367756,8;207714,5;146063,4;61639,4;11561,3;385274,1;213681,6;149247,9;64433,7;11561,3;385274,1;213681,6;149247,9;64433,7;185126,8;185126,8;1,0139319502;1,0092494831;230994769305,378;227820781515,937;NA;117,9934056411;112,583839351725;130,31210613453;127,612206313538;137,584568236048;0,0300079865218036;NA;105,159453449153;100,664576444201;96,4866945538325;96,8707017919861;92,5495927466575;NA;NA;NA;NA;NA;NA;NA;NA
"25";"AT";2019;373337,1;215991,4;151128,1;64834,2;14411;397169,5;221450,6;152775,9;68674,8;14411;397169,5;221450,6;152775,9;68674,8;192837,8;192837,8;1,023814493;1,0026919761;238642159907,385;233091210889,643;NA;121,067135787656;114,292173769292;135,50471556365;132,037117285871;144,715643142691;0,0362842564698447;NA;105,392195996937;100,825585545173;98,4073515904224;98,972360843301;93,3697554405984;NA;NA;NA;NA;NA;NA;NA;NA
"26";"AT";2020;349242,1;192984,4;140031,5;53155,1;11438,9;381042,5;196666,8;139929,6;56737,2;11438,9;381042,5;196666,8;139929,6;56737,2;192328,2;192328,2;0,9922296455;0,9963252913;211249233639,878;212903569843,86;NA;129,801529633061;106,915810887138;121,071006670736;122,342275124324;118,646863581475;0,0300200108911736;NA;107,886828052746;99,3309335620568;97,9383293452006;99,3914666073583;93,1143132870461;NA;NA;NA;NA;NA;NA;NA;NA
"27";"AT";2021;365156,5;211496,8;158161,1;53857;2348,9;406148,7;227038,4;167968,9;59069,5;2348,9;406148,7;227038,4;167968,9;59069,5;201362,3;201362,3;1,0224779507;0,9713428698;239301623599,11;234040864589,85;NA;130,604395868258;111,787792188311;132,684976006555;138,181686336044;120,213566184759;0,00578334979282219;NA;108,094842674963;99,2418218865352;97,2830747232716;101,470507212721;86,5829125438342;NA;NA;NA;NA;NA;NA;NA;NA
"28";"AT";2022;383151,3;238094;172000,1;66488,9;5483,4;446933,3;275626,3;199393,2;76233;5483,4;446933,3;275626,3;199393,2;76233;216703,7;216703,7;1,0562503365;0,8936906017;259628654978,48;245802198586,749;NA;135,69371310409;117,296660202081;149,371038603443;150,272499799054;148,409079241358;0,0122689448291277;NA;108,411160848703;101,286826604818;103,576204772576;106,916540566729;92,9391013426288;NA;NA;NA;NA;NA;NA;NA;NA
"29";"BE";1995;286238,4;153376,6;116725,4;35854,2;8480,1;220251,5;132402,8;105514,2;26888,6;8104,2;210489,1;126534,2;100837,4;25696,8;111444,4;106504,8;0,9366364794;2,7494335725;170138682032,89;181648575280,986;1,50236;78,6891851609161;73,2769741232839;53,9346475374585;55,8014950781553;48,115528155358;0,0385017561479431;89,5128526762606;99,1098714111097;94,486535757556;110,268225285576;112,273774867986;104,656988947325;NA;NA;NA;NA;NA;NA;NA;NA
"30";"BE";1996;290020,9;161007,3;123116,4;36934,4;6977,3;219965,3;134602;107150,1;27451,9;6797,2;214287,1;131127,4;104384,1;26743,3;111518,2;108639,5;0,9309693327;2,5771792315;178623040729,269;191867803227,076;1,43024;79,2056037334766;74,2452933796147;56,617971557968;58,8567628694371;49,5651322049092;0,031720061543602;86,3278255314731;98,770735832355;94,282918485526;110,034327317069;112,789843419284;101,684177338383;NA;NA;NA;NA;NA;NA;NA;NA
"31";"BE";1997;301023,3;176287,8;135040,6;40158,9;8663,1;223032,7;144495,3;115227,7;29267,5;8704,6;224101,5;145187,7;115779,9;29407,8;112325,2;112863,5;0,9239414563;2,3842626052;195571789704,593;211671192327,104;1,46882;79,2976240450162;77,0619056164565;61,9913360848654;64,5572204186161;53,8923385164976;0,0388422210471594;89,7638467191824;98,4742414828226;95,2035529141633;107,780762240813;111,078753145203;97,1302866163054;NA;NA;NA;NA;NA;NA;NA;NA
"32";"BE";1998;306928,8;183582,2;139763,5;42833;8408;231015,7;148252,8;117570,3;30682,5;8466,5;232623,8;149284,8;118388,7;30896,1;116068,6;116876,5;0,8828121051;2,4551203059;203663436191,438;230698508803,59;1,48359;80,5038637351632;78,5737124553888;64,5564007231299;66,8150398915382;57,4809204354985;0,03639567404539;92,9258855580048;99,4926750314759;94,1952301203696;104,426705909774;107,144558035189;95,8626157857515;NA;NA;NA;NA;NA;NA;NA;NA
"33";"BE";1999;317802,5;192484,6;145448,3;46193,4;9586;242307,6;156441,2;123164,9;33276,3;9586;242307,6;156441,2;123164,9;33276,3;122964,3;122964,3;0,8679224417;2,3769374978;213540037325,572;246035851903,387;1,45589;81,824714153313;81,3573775175341;67,6869161096848;69,5327032212017;61,9905014835561;0,0395612849122355;91,4675159695128;99,687623661049;94,7275066791889;103,402787250522;105,365106486663;98,249168285734;NA;NA;NA;NA;NA;NA;NA;NA
"34";"BE";2000;329614,2;216346,8;163804,2;51538,1;7344,3;256376,4;185994,4;145794;40200,4;7344,3;256376,4;185994,4;145794;40200,4;128563,6;128563,6;0,8676926716;2,1985053554;239976003295,069;276567972919,071;1,44647;82,5078328124267;84,3811703952611;76,0780223571068;78,3078855166156;69,1629684004568;0,0286465524907909;89,9291625505199;98,9984477474316;94,6453937651555;102,718140435708;104,921358461999;96,9870504782952;NA;NA;NA;NA;NA;NA;NA;NA
"35";"BE";2001;333238,7;217169,3;162008,5;54493,7;9640,5;264334,9;189295,4;145998,2;43297,2;9640,5;264334,9;189295,4;145998,2;43297,2;135709,6;135709,6;0,8510893395;2,2410479963;240923393766,657;283076502777,571;1,40065;86,117320340667;85,309041682656;76,3672532280451;77,4494370151597;73,1293169737335;0,0364707800596894;87,1677897260605;101,162211856622;93,6800772804065;99,6173996281207;100,359832948081;99,1792387575964;NA;NA;NA;NA;NA;NA;NA;NA
"36";"BE";2002;338926,7;224658,1;170663,9;52892,2;15240,7;273255,9;193550,7;151322,1;42228,6;15240,7;273255,9;193550,7;151322,1;42228,6;141984,8;141984,8;0,864551733;2,2987688177;249232474132,227;288279422282,884;1,37079;88,5860857871971;86,7651685643505;79,0006783299089;81,5872190274678;70,980140075607;0,0557744590327235;85,6890466169724;101,195237671307;94,5928364114427;101,45023795335;104,311665338485;93,0933878802638;NA;NA;NA;NA;NA;NA;NA;NA
"37";"BE";2003;342444,7;228287,1;175040,5;51947,7;15065,2;281200,2;194130,8;152124;42006,8;15065,2;281200,2;194130,8;152124;42006,8;144668,6;144668,6;0,8429113343;2,3782296458;253258328958,215;300456665674,991;1,37738;89,3483598152162;87,6657758726841;80,2768106467906;83,6794870630372;69,7126423670335;0,0535746418388038;86,9480416933542;100,010489087441;95,2024614260215;102,244729654974;105,600801857586;92,5278575012923;NA;NA;NA;NA;NA;NA;NA;NA
"38";"BE";2004;354674,1;242425,8;188069,9;52813,1;14526,8;296819,7;210463,8;165746,3;44717,5;14526,8;296819,7;210463,8;165746,3;44717,5;148850,7;148850,7;0,8267939632;2,331930848;268946848922,152;325288839661,219;1,33257;88,7351241475203;90,7964998682881;85,2486629445848;89,9082941604754;70,8739896587217;0,0489414954600385;84,682683229508;98,7033142190809;96,5014178959159;100,684178658948;104,988198265793;87,4732621136872;NA;NA;NA;NA;NA;NA;NA;NA
"39";"BE";2005;362908,7;255786,1;198118,3;56052,7;12515;310037,6;230304,7;182738,1;47566,6;12515;310037,6;230304,7;182738,1;47566,6;153985,4;153985,4;0,8115910732;2,2421492616;283744555597,231;349615175609,354;1,27927;89,7557331840129;92,9045558493011;89,9467920692016;94,7120107735119;75,2214598299178;0,0403660717280743;82,3345506036635;98,9142755315623;97,1935123445275;101,096510969207;105,321844680932;88,4075171492365;NA;NA;NA;NA;NA;NA;NA;NA
"40";"BE";2006;372171,4;270367,5;210886,5;57645,8;13144,2;325151,5;249732,6;200445,5;49287,1;13144,2;325151,5;249732,6;200445,5;49287,1;161393,2;161393,2;0,7820740355;2,1293696431;299917864362,203;383490373970,76;1,23122;91,7082495466037;95,2758052281816;95,0743191470133;100,81594915759;77,3593641174016;0,040424848109266;81,953260472926;100,65799990273;96,5640870565673;98,5203639993648;103,294899905175;84,2451556894166;NA;NA;NA;NA;NA;NA;NA;NA
"41";"BE";2007;385855,7;285064,8;220189,9;63181,2;14209,2;343618,9;269059,8;213033,2;56026,6;14209,2;343618,9;269059,8;213033,2;56026,6;170105,6;170105,6;0,7718547386;2,1474330422;316238717544,882;409712737051,865;1,26407;93,2257568640629;98,7789833377408;100,242602283113;105,263512663992;84,7877461354404;0,0413516253034976;86,3174144715426;100,758705943347;97,311016665107;97,8577990136139;101,675247015986;87,2338723707993;NA;NA;NA;NA;NA;NA;NA;NA
"42";"BE";2008;387580,2;290217,7;217942,5;71117,9;2366,5;351743,1;284492;218325,3;66166,7;2366,5;351743,1;284492;218325,3;66166,7;179628,2;179628,2;0,768840518;2,1247271435;321965215922,328;418767232433,693;1,22398;98,0138784674773;99,2204549986906;102,054611711512;104,189125426607;95,4386186220844;0,00672792159959925;84,8380223118017;102,06558156283;97,210733968989;98,8602366064139;100,387484992004;95,5093902128872;NA;NA;NA;NA;NA;NA;NA;NA
"43";"BE";2009;379748,2;257494,8;187543,7;69371,2;7837,1;346472,8;238491,1;174947,4;63543,7;7837,1;346472,8;238491,1;174947,4;63543,7;180905,7;180905,7;0,7616316249;2,1028136695;285652648818,697;375053555397,459;1,18347;100,746426641249;97,2154645385232;90,5476538189552;89,6567401138829;93,0945865971344;0,0226196688455775;82,9870681945108;100,207477157798;99,5771513910011;100,26512093974;100,773333483396;97,925513676493;NA;NA;NA;NA;NA;NA;NA;NA
"44";"BE";2010;390625,3;284374,9;209179,7;74516,9;6182,3;363140,1;275442;204664,6;70777,4;6182,3;363140,1;275442;204664,6;70777,4;184711,1;184711,1;0,759118312;1,9395211764;315473261543,247;415578515990,079;1,1659;100;100;100;100;100;0,0170245588410644;81,4874136844448;100;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA
"45";"BE";2011;397244,5;297545,1;222577,4;74146,2;-372,2;375967,8;303396,1;231427,5;71968,6;-372,2;375967,8;303396,1;231427,5;71968,6;193170,9;193170,9;0,7473218407;1,884627126;330082377609,227;441687047859,452;1,13515;102,838339145308;101,694513898613;104,631280749461;106,404875807739;99,5025289565186;-0,000989978397086133;81,7211559336029;102,286305461348;99,5336948957645;98,1638809830846;99,8309621788932;93,8167857338262;NA;NA;NA;NA;NA;NA;NA;NA
"46";"BE";2012;400181;296096,5;215398,8;80314,3;243,1;386174,7;310501,8;230862,4;79639,4;243,1;386174,7;310501,8;230862,4;79639,4;199806;199806;0,7323790474;1,7612584572;328477138718,842;448507012689,708;1,04707;105,590130699686;102,446257321274;104,121882768135;102,973089644932;107,779980111894;0,000629507836738139;NA;102,833321192113;100,725038813594;95,3050947118053;94,8777319486428;96,8821249869369;NA;NA;NA;NA;NA;NA;NA;NA
"47";"BE";2013;402018,8;297140,7;215528,1;81278,9;3134,6;392880;311649,5;229638;82011,5;3134,6;392880;311649,5;229638;82011,5;203605,8;203605,8;0,7161788634;1,7731552263;329635306930,011;460269527290,255;0,951062;107,100533553971;102,916733759948;104,489074106048;103,034902526392;109,074451567363;0,00797851761352067;NA;103,030744360317;101,171986520066;94,1564182647925;93,9616043620103;94,6830302793322;NA;NA;NA;NA;NA;NA;NA;NA
"48";"BE";2014;408364,8;312582,4;222651,5;89808;3299,8;403003,3;321600,7;230822,6;90778,1;3299,8;403003,3;321600,7;230822,6;90778,1;206201,2;206201,2;0,7234412799;1,797444316;346765990375,289;479328454155,778;0,90581;106,836744330687;104,541308512275;109,919124367165;106,440299895258;120,520311499807;0,0081880222817034;NA;102,007643257849;101,290302787525;95,1772264541044;94,0841683425153;97,9010467731791;NA;NA;NA;NA;NA;NA;NA;NA
"49";"BE";2015;416701,4;324215,7;225961;98254,7;5908,9;416701,4;324215,7;225961;98254,7;5908,9;416701,4;324215,7;225961;98254,7;208127,9;208127,9;0,7156805844;1,7019418333;359670025463,715;502556633946,128;NA;105,626711437455;106,675476473234;114,00995657493;108,022432387082;131,855592489757;0,0141801779403669;NA;100,078563082864;101,536661790246;93,6052385787991;90,9523859223465;99,5362132936717;NA;NA;NA;NA;NA;NA;NA;NA
"50";"BE";2016;421979,7;344323,1;246495,3;97827,8;5136,1;430085,3;341615,1;243154,1;98461;5136,1;430085,3;341615,1;243154,1;98461;211813,2;211813,2;0,7406382656;1,8206837769;381976966450,481;515740252941,922;NA;106,14930749317;108,026720235479;121,080693127277;117,839015927454;131,282702313167;0,01194204963527;NA;99,454324437648;100,945487467044;97,0576768255559;96,8404866729873;96,6578921982127;NA;NA;NA;NA;NA;NA;NA;NA
"51";"BE";2017;428814;363161;261504,6;101686,7;4624;445050,1;370203,4;266108,4;104095;4624;445050,1;370203,4;266108,4;104095;219220,5;219220,5;0,7414167747;1,8262491925;402875024651,629;543385364916,774;NA;108,115917648993;109,776299691802;127,705011940224;125,014329784391;136,461259123769;0,0103898415032375;NA;100,425817484269;99,9610883528509;97,2862613119945;97,5879398378982;95,6942580798604;NA;NA;NA;NA;NA;NA;NA;NA
"52";"BE";2018;436502,4;367073,4;265995,4;101118,6;-1543,6;460050,8;382208,5;276850,2;105358,3;-1543,6;460050,8;382208,5;276850,2;105358,3;226486,8;226486,8;0,7169802009;1,798904569;405293421874,185;565278401521,943;NA;109,634546225682;111,744528580202;129,080801435007;127,161192027716;135,698881730185;-0,00335528163411519;NA;99,4902725030997;100,05904322023;95,2093146490522;96,5740264440134;90,7227980866523;NA;NA;NA;NA;NA;NA;NA;NA
"53";"BE";2019;446374,2;375842,6;271715,4;104168,1;3006,8;478676,1;394415,7;283947,1;110468,6;3006,8;478676,1;394415,7;283947,1;110468,6;234613,2;234613,2;0,7119131038;1,7842290616;413340694100,065;580605542824,538;NA;111,243162317287;114,271707439329;132,164477244651;129,895682994096;139,791241986717;0,00628149180625479;NA;98,9802248870691;100,739981510192;95,3896323297557;97,1480232837348;89,6954324204284;NA;NA;NA;NA;NA;NA;NA;NA
"54";"BE";2020;422437;356955;257276,6;99705,8;7875,7;459827,4;365317;259489,9;105827,1;7875,7;459827,4;365317;259489,9;105827,1;230236;230236;0,7430390135;1,8796741297;390775273043,182;525914879248,714;NA;115,766699127589;108,14378894557;125,522681502481;122,993101147004;133,802935978281;0,0171275134974558;NA;98,4945419104167;100,955922837428;102,007704853184;100,163310861879;106,628010270232;NA;NA;NA;NA;NA;NA;NA;NA
"55";"BE";2021;448991,1;397144,7;291928,7;105529,3;5281,6;502521,1;436322,7;319942,9;116379,8;5281,6;502521,1;436322,7;319942,9;116379,8;243668;243668;0,7462194437;1,8637602279;428468989019,328;574186310255,386;NA;115,39637053583;114,941633324826;139,655328230445;139,558809961005;141,617941701815;0,0105102054421197;NA;97,6610902142085;101,85146466587;103,127983053558;103,397977267238;102,453963681996;NA;NA;NA;NA;NA;NA;NA;NA
"56";"BE";2022;463573,6;417275,9;305311,2;112285;-13281,9;549456,2;523788,2;391734;132054,2;-13281,9;549456,2;523788,2;391734;132054,2;266718;266718;0,7099063341;1,6842169424;431746759432,334;608174260019,248;NA;122,226526991902;118,674750457792;146,734434016504;145,956419289252;150,683938811196;-0,0241728094068281;NA;99,9098373895296;102,022384492427;101,696033443331;104,363606743849;93,8397547434153;NA;NA;NA;NA;NA;NA;NA;NA
"57";"DE";1995;2328342,9;455931,8;389408,7;66089,4;8045,7;1977604,1;434958,9;378108,1;56850,9;7708;1894610;416705;362240;54465;1055689,1;1011385;0,9341047066;9,0358027234;505851185029,886;541535848670,584;2,30351;93,2353758141615;83,6577131364011;39,9576875936922;40,7271804242811;35,8182504015973;0,00406838346678208;159,12674517043;126,742195886776;111,683422284757;73,7577731257831;74,417615264641;67,6618426790812;NA;NA;NA;NA;NA;NA;NA;NA
"58";"DE";1996;2347105,2;482768;412274;70091,7;14059,8;1967956,2;449875,3;390713,1;59162,2;13727;1921380;439228;381466;57762;1045402,9;1020661;0,9279501534;8,6260340932;536490678739,202;578146010071,14;2,33549;93,299611069865;84,3318454178529;42,3096018400814;43,1185989995603;37,9873635057004;0,00714434416929499;163,013733604306;124,454398471996;110,250067447493;74,6291354686677;75,4112242841208;68,3025205959251;NA;NA;NA;NA;NA;NA;NA;NA
